doc_ids,doc_names,ID,business_name,problem_type,subcategories,business_names,query,problem_types,doc_name_1,doc_id_1,doc_content_1,score_1,doc_name_2,doc_id_2,doc_content_2,score_2,match_flag
17cb8d83-9a18-45a7-9a25-8a75eef994a6,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,202,Ultra mobile,International phone plan inquiry,Account Information Update,Ultra Mobile,Contact Information and Authentication for Ultra Mobile - International phone plan inquiry,,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,89ceb845-82c3-4455-8976-f87ca48928c4,"Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry

Customer Service Contact Information:
- Phone Number: +1 8887770446",0.8635331922250246,General solution for Ultra Mobile - International Phone Plan Inquiry,4461c8bd-1174-4b29-aa87-4e87c4c928d6,"General solution for Ultra Mobile - International Phone Plan Inquiry

## Description
This document addresses inquiries related to international phone plans, focusing on users needing a US-based plan with extensive international capabilities. It covers aspects such as data requirements, call and SMS focus, and budget considerations.

## Solution steps
1. Clarify the user’s requirements, including the need for a US phone plan that supports extended international use, minimal data requirements, calls and SMS focus, and budget constraints.
2. Identify the business names or carriers relevant to the request early on.
3. Research available US phone plans that meet the requirements, comparing key features such as international coverage, cost, and limitations.
4. Evaluate and compare the options to select the best candidate plan based on affordability and suitability for international use.
5. Verify the selected plan’s international roaming details, including coverage in the target location, any additional credit requirements, and any plan limitations.
6. Advise the user to contact the carrier’s customer service during their business hours to confirm final details and discuss the number porting process if needed.

## Keywords
international roaming, US phone plan, Ultra Mobile, budget constraints, customer service",0.5058621090131356,1
17cb8d83-9a18-45a7-9a25-8a75eef994a6,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,202,Ultra mobile,International phone plan inquiry,Account Information Update,UltraMobile,Contact Information and Authentication for UltraMobile - International phone plan inquiry,,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,89ceb845-82c3-4455-8976-f87ca48928c4,"Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry

Customer Service Contact Information:
- Phone Number: +1 8887770446",0.7797650439171236,General solution for Ultra Mobile - International Phone Plan Inquiry,4461c8bd-1174-4b29-aa87-4e87c4c928d6,"General solution for Ultra Mobile - International Phone Plan Inquiry

## Description
This document addresses inquiries related to international phone plans, focusing on users needing a US-based plan with extensive international capabilities. It covers aspects such as data requirements, call and SMS focus, and budget considerations.

## Solution steps
1. Clarify the user’s requirements, including the need for a US phone plan that supports extended international use, minimal data requirements, calls and SMS focus, and budget constraints.
2. Identify the business names or carriers relevant to the request early on.
3. Research available US phone plans that meet the requirements, comparing key features such as international coverage, cost, and limitations.
4. Evaluate and compare the options to select the best candidate plan based on affordability and suitability for international use.
5. Verify the selected plan’s international roaming details, including coverage in the target location, any additional credit requirements, and any plan limitations.
6. Advise the user to contact the carrier’s customer service during their business hours to confirm final details and discuss the number porting process if needed.

## Keywords
international roaming, US phone plan, Ultra Mobile, budget constraints, customer service",0.49749482023859326,1
17cb8d83-9a18-45a7-9a25-8a75eef994a6,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,202,Ultra mobile,International phone plan inquiry,Account Information Update,Ultra M,Contact Information and Authentication for Ultra M - International phone plan inquiry,,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,89ceb845-82c3-4455-8976-f87ca48928c4,"Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry

Customer Service Contact Information:
- Phone Number: +1 8887770446",0.7392458857649656,General solution for Ultra Mobile - International Phone Plan Inquiry,4461c8bd-1174-4b29-aa87-4e87c4c928d6,"General solution for Ultra Mobile - International Phone Plan Inquiry

## Description
This document addresses inquiries related to international phone plans, focusing on users needing a US-based plan with extensive international capabilities. It covers aspects such as data requirements, call and SMS focus, and budget considerations.

## Solution steps
1. Clarify the user’s requirements, including the need for a US phone plan that supports extended international use, minimal data requirements, calls and SMS focus, and budget constraints.
2. Identify the business names or carriers relevant to the request early on.
3. Research available US phone plans that meet the requirements, comparing key features such as international coverage, cost, and limitations.
4. Evaluate and compare the options to select the best candidate plan based on affordability and suitability for international use.
5. Verify the selected plan’s international roaming details, including coverage in the target location, any additional credit requirements, and any plan limitations.
6. Advise the user to contact the carrier’s customer service during their business hours to confirm final details and discuss the number porting process if needed.

## Keywords
international roaming, US phone plan, Ultra Mobile, budget constraints, customer service",0.4781135723054009,1
17cb8d83-9a18-45a7-9a25-8a75eef994a6,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,202,Ultra mobile,International phone plan inquiry,Account Information Update,UMobile,Contact Information and Authentication for UMobile - International phone plan inquiry,,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,89ceb845-82c3-4455-8976-f87ca48928c4,"Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry

Customer Service Contact Information:
- Phone Number: +1 8887770446",0.6949483508087992,General solution for Ultra Mobile - International Phone Plan Inquiry,4461c8bd-1174-4b29-aa87-4e87c4c928d6,"General solution for Ultra Mobile - International Phone Plan Inquiry

## Description
This document addresses inquiries related to international phone plans, focusing on users needing a US-based plan with extensive international capabilities. It covers aspects such as data requirements, call and SMS focus, and budget considerations.

## Solution steps
1. Clarify the user’s requirements, including the need for a US phone plan that supports extended international use, minimal data requirements, calls and SMS focus, and budget constraints.
2. Identify the business names or carriers relevant to the request early on.
3. Research available US phone plans that meet the requirements, comparing key features such as international coverage, cost, and limitations.
4. Evaluate and compare the options to select the best candidate plan based on affordability and suitability for international use.
5. Verify the selected plan’s international roaming details, including coverage in the target location, any additional credit requirements, and any plan limitations.
6. Advise the user to contact the carrier’s customer service during their business hours to confirm final details and discuss the number porting process if needed.

## Keywords
international roaming, US phone plan, Ultra Mobile, budget constraints, customer service",0.4501710320597928,1
17cb8d83-9a18-45a7-9a25-8a75eef994a6,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,202,Ultra mobile,International phone plan inquiry,Account Information Update,UltraM,Contact Information and Authentication for UltraM - International phone plan inquiry,,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,89ceb845-82c3-4455-8976-f87ca48928c4,"Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry

Customer Service Contact Information:
- Phone Number: +1 8887770446",0.7252272628561662,General solution for Ultra Mobile - International Phone Plan Inquiry,4461c8bd-1174-4b29-aa87-4e87c4c928d6,"General solution for Ultra Mobile - International Phone Plan Inquiry

## Description
This document addresses inquiries related to international phone plans, focusing on users needing a US-based plan with extensive international capabilities. It covers aspects such as data requirements, call and SMS focus, and budget considerations.

## Solution steps
1. Clarify the user’s requirements, including the need for a US phone plan that supports extended international use, minimal data requirements, calls and SMS focus, and budget constraints.
2. Identify the business names or carriers relevant to the request early on.
3. Research available US phone plans that meet the requirements, comparing key features such as international coverage, cost, and limitations.
4. Evaluate and compare the options to select the best candidate plan based on affordability and suitability for international use.
5. Verify the selected plan’s international roaming details, including coverage in the target location, any additional credit requirements, and any plan limitations.
6. Advise the user to contact the carrier’s customer service during their business hours to confirm final details and discuss the number porting process if needed.

## Keywords
international roaming, US phone plan, Ultra Mobile, budget constraints, customer service",0.46471278463345345,1
17cb8d83-9a18-45a7-9a25-8a75eef994a6,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,202,Ultra mobile,International phone plan inquiry,Account Information Update,,Contact Information and Authentication for Ultra mobile - Inquiry about International phone package,Inquiry about International phone package,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,89ceb845-82c3-4455-8976-f87ca48928c4,"Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry

Customer Service Contact Information:
- Phone Number: +1 8887770446",0.7816681996986016,General solution for Ultra Mobile - International Phone Plan Inquiry,4461c8bd-1174-4b29-aa87-4e87c4c928d6,"General solution for Ultra Mobile - International Phone Plan Inquiry

## Description
This document addresses inquiries related to international phone plans, focusing on users needing a US-based plan with extensive international capabilities. It covers aspects such as data requirements, call and SMS focus, and budget considerations.

## Solution steps
1. Clarify the user’s requirements, including the need for a US phone plan that supports extended international use, minimal data requirements, calls and SMS focus, and budget constraints.
2. Identify the business names or carriers relevant to the request early on.
3. Research available US phone plans that meet the requirements, comparing key features such as international coverage, cost, and limitations.
4. Evaluate and compare the options to select the best candidate plan based on affordability and suitability for international use.
5. Verify the selected plan’s international roaming details, including coverage in the target location, any additional credit requirements, and any plan limitations.
6. Advise the user to contact the carrier’s customer service during their business hours to confirm final details and discuss the number porting process if needed.

## Keywords
international roaming, US phone plan, Ultra Mobile, budget constraints, customer service",0.48825298200601847,1
17cb8d83-9a18-45a7-9a25-8a75eef994a6,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,202,Ultra mobile,International phone plan inquiry,Account Information Update,,Contact Information and Authentication for Ultra mobile - Question about global phone plan,Question about global phone plan,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,89ceb845-82c3-4455-8976-f87ca48928c4,"Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry

Customer Service Contact Information:
- Phone Number: +1 8887770446",0.731300389061045,General solution for Ultra Mobile - International Phone Plan Inquiry,4461c8bd-1174-4b29-aa87-4e87c4c928d6,"General solution for Ultra Mobile - International Phone Plan Inquiry

## Description
This document addresses inquiries related to international phone plans, focusing on users needing a US-based plan with extensive international capabilities. It covers aspects such as data requirements, call and SMS focus, and budget considerations.

## Solution steps
1. Clarify the user’s requirements, including the need for a US phone plan that supports extended international use, minimal data requirements, calls and SMS focus, and budget constraints.
2. Identify the business names or carriers relevant to the request early on.
3. Research available US phone plans that meet the requirements, comparing key features such as international coverage, cost, and limitations.
4. Evaluate and compare the options to select the best candidate plan based on affordability and suitability for international use.
5. Verify the selected plan’s international roaming details, including coverage in the target location, any additional credit requirements, and any plan limitations.
6. Advise the user to contact the carrier’s customer service during their business hours to confirm final details and discuss the number porting process if needed.

## Keywords
international roaming, US phone plan, Ultra Mobile, budget constraints, customer service",0.4742972611406019,1
17cb8d83-9a18-45a7-9a25-8a75eef994a6,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,202,Ultra mobile,International phone plan inquiry,Account Information Update,,Contact Information and Authentication for Ultra mobile - Seeking information on International phone tariff,Seeking information on International phone tariff,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,89ceb845-82c3-4455-8976-f87ca48928c4,"Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry

Customer Service Contact Information:
- Phone Number: +1 8887770446",0.7483353262908505,General solution for Ultra Mobile - International Phone Plan Inquiry,4461c8bd-1174-4b29-aa87-4e87c4c928d6,"General solution for Ultra Mobile - International Phone Plan Inquiry

## Description
This document addresses inquiries related to international phone plans, focusing on users needing a US-based plan with extensive international capabilities. It covers aspects such as data requirements, call and SMS focus, and budget considerations.

## Solution steps
1. Clarify the user’s requirements, including the need for a US phone plan that supports extended international use, minimal data requirements, calls and SMS focus, and budget constraints.
2. Identify the business names or carriers relevant to the request early on.
3. Research available US phone plans that meet the requirements, comparing key features such as international coverage, cost, and limitations.
4. Evaluate and compare the options to select the best candidate plan based on affordability and suitability for international use.
5. Verify the selected plan’s international roaming details, including coverage in the target location, any additional credit requirements, and any plan limitations.
6. Advise the user to contact the carrier’s customer service during their business hours to confirm final details and discuss the number porting process if needed.

## Keywords
international roaming, US phone plan, Ultra Mobile, budget constraints, customer service",0.4666968639377274,1
17cb8d83-9a18-45a7-9a25-8a75eef994a6,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,202,Ultra mobile,International phone plan inquiry,Account Information Update,,Contact Information and Authentication for Ultra mobile - Query regarding foreign calling plan,Query regarding foreign calling plan,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,89ceb845-82c3-4455-8976-f87ca48928c4,"Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry

Customer Service Contact Information:
- Phone Number: +1 8887770446",0.7376434263840758,General solution for Ultra Mobile - International Phone Plan Inquiry,4461c8bd-1174-4b29-aa87-4e87c4c928d6,"General solution for Ultra Mobile - International Phone Plan Inquiry

## Description
This document addresses inquiries related to international phone plans, focusing on users needing a US-based plan with extensive international capabilities. It covers aspects such as data requirements, call and SMS focus, and budget considerations.

## Solution steps
1. Clarify the user’s requirements, including the need for a US phone plan that supports extended international use, minimal data requirements, calls and SMS focus, and budget constraints.
2. Identify the business names or carriers relevant to the request early on.
3. Research available US phone plans that meet the requirements, comparing key features such as international coverage, cost, and limitations.
4. Evaluate and compare the options to select the best candidate plan based on affordability and suitability for international use.
5. Verify the selected plan’s international roaming details, including coverage in the target location, any additional credit requirements, and any plan limitations.
6. Advise the user to contact the carrier’s customer service during their business hours to confirm final details and discuss the number porting process if needed.

## Keywords
international roaming, US phone plan, Ultra Mobile, budget constraints, customer service",0.4809917242204567,1
17cb8d83-9a18-45a7-9a25-8a75eef994a6,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,202,Ultra mobile,International phone plan inquiry,Account Information Update,,Contact Information and Authentication for Ultra mobile - International calling plan assistance needed,International calling plan assistance needed,Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry,89ceb845-82c3-4455-8976-f87ca48928c4,"Contact Information and Authentication for Ultra Mobile - International Phone Plan Inquiry

Customer Service Contact Information:
- Phone Number: +1 8887770446",0.7605506908203191,General solution for Ultra Mobile - International Phone Plan Inquiry,4461c8bd-1174-4b29-aa87-4e87c4c928d6,"General solution for Ultra Mobile - International Phone Plan Inquiry

## Description
This document addresses inquiries related to international phone plans, focusing on users needing a US-based plan with extensive international capabilities. It covers aspects such as data requirements, call and SMS focus, and budget considerations.

## Solution steps
1. Clarify the user’s requirements, including the need for a US phone plan that supports extended international use, minimal data requirements, calls and SMS focus, and budget constraints.
2. Identify the business names or carriers relevant to the request early on.
3. Research available US phone plans that meet the requirements, comparing key features such as international coverage, cost, and limitations.
4. Evaluate and compare the options to select the best candidate plan based on affordability and suitability for international use.
5. Verify the selected plan’s international roaming details, including coverage in the target location, any additional credit requirements, and any plan limitations.
6. Advise the user to contact the carrier’s customer service during their business hours to confirm final details and discuss the number porting process if needed.

## Keywords
international roaming, US phone plan, Ultra Mobile, budget constraints, customer service",0.4935780712457221,1
