,doc_ids,doc_names,ID,business name,problem type,doc_name_1,doc_id_1,doc_content_1,score_1,doc_name_2,doc_id_2,doc_content_2,score_2,match_flag
0,ef13ddaf-4e8e-42f5-980a-4d838302f559,General solution for Zanti Cucina Italiana - River Oaks - reservation failure,1,Zanti Cucina Italiana - River Oaks,reservation failure,General solution for Houston's - Reservation Failure,eb3b7fe8-ca64-40a3-b540-76b82cd50dd0,General solution for Houston's - Reservation Failure,0.618998832755958,General solution for Bottles - Dinner Reservation Failure,c7590bc3-cceb-4854-ab44-2aeae17b2a73,General solution for Bottles - Dinner Reservation Failure,0.5547249844897951,0
1,683987e5-7c99-4311-aea5-a8c5d7df96e5,Contact Information and Authentication for Zanti Cucina Italiana - River Oaks - Reservation Failure,2,Zanti Cucina Italiana - River Oaks,Reservation Failure,Contact Information and Authentication for Houston's - Reservation Failure,d4bce44a-d92d-4b7c-8773-5e9ec7d8904b,Contact Information and Authentication for Houston's - Reservation Failure,0.8190046940844042,Contact Information and Authentication for Bottles - Dinner Reservation Failure,e02014f9-9a73-4457-b201-c8165991e6e4,Contact Information and Authentication for Bottles - Dinner Reservation Failure,0.7014671243593538,0
2,f38f62fb-175e-478d-b1d7-c6847b6e4e8c,General solution for Canon Canada Inc. - Printer Replacement Claim,3,Canon Canada Inc.,Printer Replacement Claim,General solution for Canon Canada Inc. - Printer Replacement Claim,21751788-a047-48a1-b262-8a93034ecfb1,General solution for Canon Canada Inc. - Printer Replacement Claim,0.9999995222356945,Contact Information and Authentication for Canon Canada Inc. - Printer Replacement Difficulty,910537d2-e35e-4b6b-a38a-f9a6c49888b7,Contact Information and Authentication for Canon Canada Inc. - Printer Replacement,0.6092999679069517,1
3,08883e89-b6c7-4b62-a289-d33809cf357a,Contact Information and Authentication for Canon Canada Inc. - Printer Replacement Difficulty,4,Canon Canada Inc.,Printer Replacement Difficulty,Contact Information and Authentication for Canon Canada Inc. - Printer Replacement Difficulty,910537d2-e35e-4b6b-a38a-f9a6c49888b7,Contact Information and Authentication for Canon Canada Inc. - Printer Replacement Difficulty,0.9999995623590017,Contact Information and Authentication for Canon Canada Inc. - Printer Replacement Difficulty,910537d2-e35e-4b6b-a38a-f9a6c49888b7,Contact Information and Authentication for Canon Canada Inc. - Printer Replacement,0.9386863159461016,1
4,edba079d-c5f1-4c9e-9236-6894896dfc87,General solution for Geico - PDF Upload Error,5,Geico,PDF Upload Error,General solution for Geico - PDF Upload Error,d4a1b4c0-444a-4ecf-93c8-b2fe9c1738b1,General solution for Geico - PDF Upload Error,0.9999994184162708,Contact Information and Authentication for Geico - PDF Upload Error,0323c8a4-48da-48d2-9fb3-330c627764e9,Contact Information and Authentication for Geico - PDF Upload Error,0.665962909446315,1
5,c9fdbd1e-4f68-4a8b-900c-c7d2bba373d6,Contact Information and Authentication for Geico - PDF Upload Error,6,Geico,PDF Upload Error,Contact Information and Authentication for Geico - PDF Upload Error,0323c8a4-48da-48d2-9fb3-330c627764e9,Contact Information and Authentication for Geico - PDF Upload Error,0.9999994910088519,General solution for Geico - PDF Upload Error,d4a1b4c0-444a-4ecf-93c8-b2fe9c1738b1,General solution for Geico - PDF Upload Error,0.665848607724176,1
6,1ff01d7a-ff06-4ebd-91a3-92d2c633f3e0,General solution for Planet Fitness - membership cancellation,7,Planet Fitness,membership cancellation,General solution for Planet Fitness - membership cancellation,df21eec1-7c36-4ae1-8a7a-8f1498408d36,General solution for Planet Fitness - membership cancellation,0.9999993616729965,Contact Information and Authentication for Planet Fitness - Membership Cancellation,e5c9e84c-296d-453c-b10e-a404560cd8f5,Contact Information and Authentication for Planet Fitness - Membership Cancellation,0.5571360911269788,1
7,6b108ce6-ad3f-4f48-a3a0-9fdd15839971,Contact Information and Authentication for Planet Fitness - Membership Cancellation,8,Planet Fitness,Membership Cancellation,Contact Information and Authentication for Planet Fitness - Membership Cancellation,e5c9e84c-296d-453c-b10e-a404560cd8f5,Contact Information and Authentication for Planet Fitness - Membership Cancellation,0.9999996199151429,Contact Information and Authentication for Peloton - Subscription Cancellation,5be1ef37-048c-45a0-941c-a4cda93e6d6a,Contact Information and Authentication for Peloton - Subscription Cancellation,0.6616563089319988,1
8,2cb1607c-6d70-4918-9d49-6299104b4993,General solution for Shopify - Fraudulent Shopify Charges,9,Shopify,Fraudulent Shopify Charges,General solution for Shopify - Fraudulent Shopify Charges,018f5512-af3a-4f81-96cf-84ece71c2b14,General solution for Shopify - Fraudulent Shopify Charges,0.9999999999999998,Contact Information and Authentication for Shopify - Fraudulent Shopify Charges,817602af-b650-4770-b70a-9b5fde66ece3,Contact Information and Authentication for Shopify - Fraudulent Shopify Charges,0.6656919376584414,1
9,bcfedd86-10a7-4c2e-95f2-ab69e0ba9bcf,Contact Information and Authentication for Shopify - Fraudulent Shopify Charges,10,Shopify,Fraudulent Shopify Charges,Contact Information and Authentication for Shopify - Fraudulent Shopify Charges,817602af-b650-4770-b70a-9b5fde66ece3,Contact Information and Authentication for Shopify - Fraudulent Shopify Charges,0.9999999999999999,Contact Information and Authentication for Shopify - Fraudulent Shopify Charges,817602af-b650-4770-b70a-9b5fde66ece3,Contact Information and Authentication for Shopify - Fraudulent Account Charges,0.9361362976576568,1
10,6adef0d4-fac5-40c6-acc3-0eec0c94ae98,Contact Information and Authentication for PickleBallDepot.ca - refund request for banned paddle,11,PickleBallDepot.ca,refund request for banned paddle,Contact Information and Authentication for PickleBallDepot.ca - refund request for banned paddle,dcf3acf2-87e5-4872-acde-b6191c99a2ef,Contact Information and Authentication for PickleBallDepot.ca - refund request for banned paddle,0.9999999999999999,General solution for Gearbox Sports and PickleBallDepot.ca - refund request for banned paddle,b5cb7577-eea1-4004-87ed-9a4e1674eb30,General solution for Gearbox Sports and PickleBallDepot.ca - refund request for banned paddle,0.652690792151379,1
11,a9b4f0ea-5142-400a-8ed5-a462bc383816,General solution for Gearbox Sports and PickleBallDepot.ca - refund request for banned paddle,12,Gearbox Sports and PickleBallDepot.ca,refund request for banned paddle,General solution for Gearbox Sports and PickleBallDepot.ca - refund request for banned paddle,b5cb7577-eea1-4004-87ed-9a4e1674eb30,General solution for Gearbox Sports and PickleBallDepot.ca - refund request for banned paddle,1.0,Contact Information and Authentication for PickleBallDepot.ca - refund request for banned paddle,dcf3acf2-87e5-4872-acde-b6191c99a2ef,Contact Information and Authentication for PickleBallDepot.ca - refund request for banned paddle,0.6526907923652414,1
12,f7821ae2-1058-470b-8ad0-c94a08e26301,General solution for Super.com - Seeking a Refund,13,Super.com,Seeking a Refund,General solution for Super.com - Seeking a Refund,0974e4bc-b6c4-4a42-bdb1-4c788b469ed4,General solution for Super.com - Seeking a Refund,0.9999997005917113,Contact Information and Authentication for Super.com - Seeking a Refund,da3c7cc4-4978-464c-8c25-1400734e4709,Contact Information and Authentication for Super.com - Seeking a Refund,0.630092936355321,1
13,a9007c1f-2f2d-41b0-ba85-81735982c1e5,Contact Information and Authentication for Super.com - Seeking a Refund,14,Super.com,Seeking a Refund,Contact Information and Authentication for Super.com - Seeking a Refund,da3c7cc4-4978-464c-8c25-1400734e4709,Contact Information and Authentication for Super.com - Seeking a Refund,0.9999976645956524,Contact Information and Authentication for T-Mobile - Billing Dispute,07ac45d9-6525-4389-9f30-a11b29b4d011,Contact Information and Authentication for T-Mobile - Seeking Refund,0.7098702406308383,1
14,85d0ea6b-08ac-4fbf-ace2-1172cb55477b,General solution for Dart Insurance - Obtain Car Insurance Quotes,15,Dart Insurance,Obtain Car Insurance Quotes,General solution for Dart Insurance - Obtain Car Insurance Quotes,10853c1a-bc3b-431f-a85e-27f7d08b8674,General solution for Dart Insurance - Obtain Car Insurance Quotes,1.0,Contact Information and Authentication for Dart Insurance - Obtain Car Insurance Quotes,531d1392-702d-42c0-951b-a68a1da92300,Contact Information and Authentication for Dart Insurance - Obtain Car Insurance Quotes,0.7053234036814807,1
15,4632c6c2-1fb7-4448-b57a-e02004907693,Contact Information and Authentication for Dart Insurance - Obtain Car Insurance Quotes,16,Dart Insurance,Obtain Car Insurance Quotes,Contact Information and Authentication for Dart Insurance - Obtain Car Insurance Quotes,531d1392-702d-42c0-951b-a68a1da92300,Contact Information and Authentication for Dart Insurance - Obtain Car Insurance Quotes,0.9999999999999996,General solution for Dart Insurance - Obtain Car Insurance Quotes,10853c1a-bc3b-431f-a85e-27f7d08b8674,General solution for Dart Insurance - Obtain Car Insurance Quotes,0.7053234040584402,1
16,e9ba390e-ddd2-4ef1-b02a-a65041973cfe,General solution for AT&T Internet - Bill Reduction Negotiation,17,AT&T Internet,Bill Reduction Negotiation,General solution for AT&T Internet - Bill Reduction Negotiation,88ca962e-1780-4214-95ba-3aaf3d7955c5,General solution for AT&T Internet - Bill Reduction Negotiation,1.0,General solution for AT&T - Bill Reduction Negotiation,c1d91724-d60f-4829-a212-9bc60fc66e8f,General solution for AT&T - Bill Reduction Negotiation,0.9101399643672308,1
17,bf11d9be-490e-4c48-a461-3b986ba3829f,General solution for Canadian Appliance Source - refund for duplicate delivery charge,18,Canadian Appliance Source,refund for duplicate delivery charge,General solution for Canadian Appliance Source - refund for duplicate delivery charge,02d1bbe1-e006-4d30-b957-b2913003c642,General solution for Canadian Appliance Source - refund for duplicate delivery charge,0.9999999999999998,Contact Information and Authentication for Canadian Appliance Source - refund for duplicate delivery charge,7542f902-6a95-4e11-825f-32bf47b0f856,Contact Information and Authentication for Canadian Appliance Source - refund for duplicate delivery charge,0.7403961729113826,1
18,7bb4caab-3da5-4483-80b4-e63948b3e5ea,Contact Information and Authentication for Canadian Appliance Source - refund for duplicate delivery charge,19,Canadian Appliance Source,refund for duplicate delivery charge,Contact Information and Authentication for Canadian Appliance Source - refund for duplicate delivery charge,7542f902-6a95-4e11-825f-32bf47b0f856,Contact Information and Authentication for Canadian Appliance Source - refund for duplicate delivery charge,0.9999999999999998,General solution for Canadian Appliance Source - refund for duplicate delivery charge,02d1bbe1-e006-4d30-b957-b2913003c642,General solution for Canadian Appliance Source - refund for duplicate delivery charge,0.7403961727803012,1
19,886a5b83-8d0e-44ca-a4ce-976df2b3b1e1,General solution for Canadian Appliance Source - Negotiation for higher property damage compensation,20,Canadian Appliance Source,Negotiation for higher property damage compensation,General solution for Canadian Appliance Source - Negotiation for higher property damage compensation,6f41c4dc-4187-49ec-9d0f-aa50c27c7d28,General solution for Canadian Appliance Source - Negotiation for higher property damage compensation,0.9999999999999999,Contact Information and Authentication for Canadian Appliance Source - Negotiation for higher property damage compensation,f6d431ed-220e-42fb-8cff-df0ab2c91061,Contact Information and Authentication for Canadian Appliance Source - Negotiation for higher property damage compensation,0.7464130527801246,1
20,091eac67-80fa-4f3a-a29d-da5085282ce7,Contact Information and Authentication for Canadian Appliance Source - Negotiation for higher property damage compensation,21,Canadian Appliance Source,Negotiation for higher property damage compensation,Contact Information and Authentication for Canadian Appliance Source - Negotiation for higher property damage compensation,f6d431ed-220e-42fb-8cff-df0ab2c91061,Contact Information and Authentication for Canadian Appliance Source - Negotiation for higher property damage compensation,0.9999999999999998,General solution for Canadian Appliance Source - Negotiation for higher property damage compensation,6f41c4dc-4187-49ec-9d0f-aa50c27c7d28,General solution for Canadian Appliance Source - Negotiation for higher property damage compensation,0.7464130527279594,1
21,9cbe2453-4101-42f4-ac4c-da7eb0d68049,General solution for Chase Bank - Credit report dispute - Incorrect late payment,22,Chase Bank - Credit report dispute,Incorrect late payment,General solution for Chase Bank - Credit report dispute - Incorrect late payment,45f8ce4f-bf01-4181-8f80-7ffe2e3a0124,General solution for Chase Bank - Credit report dispute - Incorrect late payment,0.9999999999999999,Contact Information and Authentication for Chase Bank - Credit report dispute - Incorrect late payment,ad5b9b27-07a2-41a9-b042-73be5f07f15f,Contact Information and Authentication for Chase Bank - Credit report dispute - Incorrect late payment,0.7430661259445175,1
22,3deae025-d019-4fb5-b326-4e8a6595b2e0,Contact Information and Authentication for Chase Bank - Credit report dispute - Incorrect late payment,23,Chase Bank - Credit report dispute,Incorrect late payment,Contact Information and Authentication for Chase Bank - Credit report dispute - Incorrect late payment,ad5b9b27-07a2-41a9-b042-73be5f07f15f,Contact Information and Authentication for Chase Bank - Credit report dispute - Incorrect late payment,0.9999999999999992,General solution for Chase Bank - Credit report dispute - Incorrect late payment,45f8ce4f-bf01-4181-8f80-7ffe2e3a0124,General solution for Chase Bank - Credit report dispute - Incorrect late payment,0.7430661259418233,1
23,93ca7a74-8cc4-4421-951e-dc208b8affe7,Contact Information and Authentication for Kepler's Books - In-Store Book Availability Inquiry,24,Kepler's Books,In-Store Book Availability Inquiry,Contact Information and Authentication for Kepler's Books - In-Store Book Availability Inquiry,a4aa9639-0b16-4651-a0bf-ca7a010267a9,Contact Information and Authentication for Kepler's Books - In-Store Book Availability Inquiry,0.999998128131878,Contact Information and Authentication for Books Inc. - checking book availability,6bfe259b-18b2-4fa0-8cc4-4c58d656567a,Contact Information and Authentication for Books Inc. - checking book availability,0.6792009619601549,1
24,c44bb3db-7af9-4552-9f2a-bc09326d55a0,Contact Information and Authentication for Bell's Books - Book Availability Inquiry,25,Bell's Books,Book Availability Inquiry,Contact Information and Authentication for Bell's Books - Book Availability Inquiry,786869f6-28f1-4bd1-b888-8bdae0fe3b39,Contact Information and Authentication for Bell's Books - Book Availability Inquiry,0.9999997212463576,Contact Information and Authentication for Books Inc. - checking book availability,6bfe259b-18b2-4fa0-8cc4-4c58d656567a,Contact Information and Authentication for Books Inc. - checking book availability,0.7023040783961385,1
25,44ec0551-9c41-425c-b10e-40cbc7c862fd,"General solution for Books Inc., Bell's Books, and Kepler's Books - In-store Book Availability Inquiry",26,"Books Inc., Bell's Books, and Kepler's Books",In-store Book Availability Inquiry,"General solution for Books Inc., Bell's Books, and Kepler's Books - In-store Book Availability Inquiry",7f6a04a3-f390-461c-b06d-0efb1962e3ce,"General solution for Books Inc., Bell's Books, and Kepler's Books - In-store Book Availability Inquiry",0.9999995316441527,Contact Information and Authentication for Kepler's Books - In-Store Book Availability Inquiry,a4aa9639-0b16-4651-a0bf-ca7a010267a9,Contact Information and Authentication for Kepler's Books - In-Store Book Availability Inquiry,0.5748608343816997,1
26,bbb31be7-75dc-48b6-aa1d-122dc632ac50,Contact Information and Authentication for Books Inc. - checking book availability,27,Books Inc.,checking book availability,Contact Information and Authentication for Books Inc. - checking book availability,6bfe259b-18b2-4fa0-8cc4-4c58d656567a,Contact Information and Authentication for Books Inc. - checking book availability,0.9999878660005334,Contact Information and Authentication for Bell's Books - Book Availability Inquiry,786869f6-28f1-4bd1-b888-8bdae0fe3b39,Contact Information and Authentication for Bell's Books - Book Availability Inquiry,0.7023992013961384,1
27,4e5a0986-6022-47a5-aff2-23b1171acf1a,Contact Information and Authentication for Giant Pharmacy - Prescription Fulfillment,28,Giant Pharmacy,Prescription Fulfillment,Contact Information and Authentication for Giant Pharmacy - Prescription Fulfillment,a2f762d4-bafc-41db-9242-a379956ef832,Contact Information and Authentication for Giant Pharmacy - Prescription Fulfillment,0.9999999999999996,Contact Information and Authentication for Giant Pharmacy - Prescription Status Check,f2f35efc-e108-427e-b248-06249234e53d,Contact Information and Authentication for Giant Pharmacy - Prescription Status Check,0.8525816176826163,1
28,2307dae2-5507-4fa5-bb7e-1d9f16efc6ab,General solution for Express Employment Professionals - appointment booking,29,Express Employment Professionals,appointment booking,General solution for Express Employment Professionals - appointment booking,562559c6-a5f8-4d2d-94b0-be00e32a9d01,General solution for Express Employment Professionals - appointment booking,0.9999993572635766,Contact Information and Authentication for Express Employment Professionals - Appointment Booking,11ba9220-afd5-4f5e-83a7-813d06f8a2dc,Contact Information and Authentication for Express Employment Professionals - Appointment Booking,0.5937256061049129,1
29,ee3eefe2-8734-4099-abfc-85654e87f945,Contact Information and Authentication for Express Employment Professionals - Appointment Booking,30,Express Employment Professionals,Appointment Booking,Contact Information and Authentication for Express Employment Professionals - Appointment Booking,11ba9220-afd5-4f5e-83a7-813d06f8a2dc,Contact Information and Authentication for Express Employment Professionals - Appointment Booking,0.9999999999999996,General solution for Express Employment Professionals - appointment booking,562559c6-a5f8-4d2d-94b0-be00e32a9d01,General solution for Express Employment Professionals - appointment booking,0.5937822286838639,1
30,1f42c30c-9a14-4ff9-9c0f-5f5e0e1a7c76,General solution for Giant Pharmacy - prescription fill request (out-of-pocket),31,Giant Pharmacy,prescription fill request (out-of-pocket),General solution for Giant Pharmacy - prescription fill request (out-of-pocket),faba6564-9c87-4a37-b226-4b101815b522,General solution for Giant Pharmacy - prescription fill request (out-of-pocket),0.9999903774019816,General solution for Giant Pharmacy - Prescription Fulfillment,4bace56c-d3a6-4f89-a247-e310373a1cd1,General solution for Giant Pharmacy - Prescription Fulfillment,0.7102447776076125,1
31,10e88b41-0d66-48eb-85c5-6ed57693b8e2,Contact Information and Authentication for Giant Pharmacy - Prescription Fill Request (Out-of-Pocket),32,Giant Pharmacy,Prescription Fill Request (Out-of-Pocket),Contact Information and Authentication for Giant Pharmacy - Prescription Fill Request (Out-of-Pocket),3cd13912-7d45-4acc-b1e8-85a8a43f230d,Contact Information and Authentication for Giant Pharmacy - Prescription Fill Request (Out-of-Pocket),0.9999808940033168,Contact Information and Authentication for Giant Pharmacy - Prescription Fulfillment,a2f762d4-bafc-41db-9242-a379956ef832,Contact Information and Authentication for Giant Pharmacy - Prescription Fulfillment,0.815558186742434,1
32,40a6dee1-dcf3-4749-898c-26424b1b81d7,Contact Information and Authentication for ShinyPet - Pricing and Competitive Analysis,33,ShinyPet,Pricing and Competitive Analysis,Contact Information and Authentication for ShinyPet - Pricing and Competitive Analysis,2e14da45-e313-4c72-a369-66468b307f7e,Contact Information and Authentication for ShinyPet - Pricing and Competitive Analysis,0.9999997075539528,Contact Information and Authentication for ShinyPet - Pricing and Competitive Analysis,2e14da45-e313-4c72-a369-66468b307f7e,"There is no available contact information for ShinyPet's customer service regarding pricing and competitive analysis inquiries. Additionally, there are no specified identification or authentication methods required or optional for this business context. Furthermore, there are no selectable required authentication methods groups provided for ShinyPet in relation to pricing and competitive analysis.",0.5538093301947079,1
33,380c661d-b4c3-4902-9266-46efc09d85f7,General solution for Giant Pharmacy - Prescription Fulfillment,34,Giant Pharmacy,Prescription Fulfillment,General solution for Giant Pharmacy - Prescription Fulfillment,4bace56c-d3a6-4f89-a247-e310373a1cd1,General solution for Giant Pharmacy - Prescription Fulfillment,0.9999993849038111,General solution for Giant Pharmacy - prescription fill request (out-of-pocket),faba6564-9c87-4a37-b226-4b101815b522,General solution for Giant Pharmacy - prescription fill request (out-of-pocket),0.7185634214763698,1
34,ec34bd2d-5c85-4627-8aa6-fd37d58c0d94,Contact Information and Authentication for Giant Pharmacy - Prescription Status Check,35,Giant Pharmacy,Prescription Status Check,Contact Information and Authentication for Giant Pharmacy - Prescription Status Check,f2f35efc-e108-427e-b248-06249234e53d,Contact Information and Authentication for Giant Pharmacy - Prescription Status Check,1.0,Contact Information and Authentication for Giant Pharmacy - Prescription Fulfillment,a2f762d4-bafc-41db-9242-a379956ef832,Contact Information and Authentication for Giant Pharmacy - Prescription Fulfillment,0.8464453461547812,1
35,e4835540-c0c1-4cf8-9d6d-88dae8cfcd6e,General solution for Petco - LED leash price and feature comparison,36,Petco,LED leash price and feature comparison,General solution for Petco - LED leash price and feature comparison,f9dedd41-b2c2-4e2e-ad7d-16b0eea5e2bd,General solution for Petco - LED leash price and feature comparison,0.9999994958007457,General solution for Petco - LED leash price and feature comparison,f9dedd41-b2c2-4e2e-ad7d-16b0eea5e2bd,"Keywords
LED leash, price comparison, feature analysis, competitive analysis, Petco",0.7227624711602803,1
36,3e40cf6e-d325-4484-8c2a-3351844fc260,Contact Information and Authentication for Petco - LED leash price and feature comparison,37,Petco,LED leash price and feature comparison,Contact Information and Authentication for Petco - LED leash price and feature comparison,ddc23399-3278-4f19-88e7-75ae9d611247,Contact Information and Authentication for Petco - LED leash price and feature comparison,0.9999999999999997,General solution for Petco - LED leash price and feature comparison,f9dedd41-b2c2-4e2e-ad7d-16b0eea5e2bd,General solution for Petco - LED leash price and feature comparison,0.6430835164307952,1
37,fd2c2fb0-7bfa-40b0-a5f8-fc431047a0eb,General solution for Altafiber - Bill Negotiation,38,Altafiber,Bill Negotiation,General solution for Altafiber - Bill Negotiation,32e75519-f38c-43ad-9c24-6f601a467f42,General solution for Altafiber - Bill Negotiation,0.9999999999999994,General solution for Bell Canada - Bill Negotiation,7c7c230f-2044-4df6-906c-09a9f1ea2744,General solution for Bell Canada - Bill Negotiation,0.7368078316790019,1
38,619ea271-fc03-4202-8956-7c7580366f73,Contact Information and Authentication for Altafiber - Bill Negotiation,39,Altafiber,Bill Negotiation,Contact Information and Authentication for Altafiber - Bill Negotiation,76e53d79-3e88-4845-b7c6-b75e8d0a9a1a,Contact Information and Authentication for Altafiber - Bill Negotiation,0.9999999999999998,Contact Information and Authentication for Bell Canada - Bill Negotiation,e2d5e1cf-4a43-416f-9714-4f2270917fb8,Contact Information and Authentication for Bell Canada - Bill Negotiation,0.7259409872497598,1
39,94485f1c-44b5-467d-b3a5-d969aba39f5c,General solution for West Coast Self-Storage Santa Clara - Rate Negotiation,40,West Coast Self-Storage Santa Clara,Rate Negotiation,General solution for West Coast Self-Storage Santa Clara - Rate Negotiation,2aeb089b-c2e2-4345-9079-fb184bb31096,General solution for West Coast Self-Storage Santa Clara - Rate Negotiation,0.9999999999999999,Contact Information and Authentication for West Coast Self-Storage Santa Clara - rate negotiation,a194d2ee-8ab8-4d09-b4bc-c409eb058295,Contact Information and Authentication for West Coast Self-Storage Santa Clara - rate negotiation,0.6596822378863311,1
40,4a846754-e244-41f7-8b25-6e16b5a03f9f,Contact Information and Authentication for West Coast Self-Storage Santa Clara - rate negotiation,41,West Coast Self-Storage Santa Clara,rate negotiation,Contact Information and Authentication for West Coast Self-Storage Santa Clara - rate negotiation,a194d2ee-8ab8-4d09-b4bc-c409eb058295,Contact Information and Authentication for West Coast Self-Storage Santa Clara - rate negotiation,0.9999994398847263,General solution for West Coast Self-Storage Santa Clara - Rate Negotiation,2aeb089b-c2e2-4345-9079-fb184bb31096,General solution for West Coast Self-Storage Santa Clara - Rate Negotiation,0.6763812890186385,1
41,dbd92d4f-9f72-4ddd-978d-4cd8a3a8e490,General solution for Click Free Source - Subscription Cancellation with Login Issues,42,Click Free Source,Subscription Cancellation with Login Issues,General solution for Click Free Source - Subscription Cancellation with Login Issues,06c1e9e1-cb04-41eb-a07a-4c2a1b5e4617,General solution for Click Free Source - Subscription Cancellation with Login Issues,0.9999999999999998,Contact Information and Authentication for Click Free Source - Subscription Cancellation with Login Issues,909de1cd-9d5e-4e60-a5d6-e7c7be4dd37e,Contact Information and Authentication for Click Free Source - Subscription Cancellation with Login Issues,0.7552560730433354,1
42,36d4ab8c-8e82-4954-9598-4dcc2d5f97b0,General solution for QuickBooks - subscription price negotiation,43,QuickBooks,subscription price negotiation,General solution for QuickBooks - subscription price negotiation,b8e87d29-2dfd-43ba-8dd2-4063011148c2,General solution for QuickBooks - subscription price negotiation,0.9999996424938371,General solution for QuickBooks - subscription price negotiation,b8e87d29-2dfd-43ba-8dd2-4063011148c2,"Keywords
QuickBooks, subscription negotiation, customer service, discount, renewal cost",0.6112010047108122,1
43,a2d2cd01-25bd-4aa3-b1ec-b55282efe994,Contact Information and Authentication for QuickBooks - Subscription Price Negotiation,44,QuickBooks,Subscription Price Negotiation,Contact Information and Authentication for QuickBooks - Subscription Price Negotiation,d407d96d-47cf-4f5a-8a53-7f3cdbcdeb69,Contact Information and Authentication for QuickBooks - Subscription Price Negotiation,1.0,General solution for QuickBooks - subscription price negotiation,b8e87d29-2dfd-43ba-8dd2-4063011148c2,General solution for QuickBooks - subscription price negotiation,0.5423868639080598,1
