doc_ids,doc_names,ID,business_name,problem_type,subcategories,subcategories_old,,doc_ids,
ef13ddaf-4e8e-42f5-980a-4d838302f559,General solution for Zanti Cucina Italiana - River Oaks - reservation failure,1,Zanti cucina italiana - river oaks,Reservation failure,Reservation (General),Reservation,FALSE,ef13ddaf-4e8e-42f5-980a-4d838302f559,TRUE
683987e5-7c99-4311-aea5-a8c5d7df96e5,Contact Information and Authentication for Zanti Cucina Italiana - River Oaks - Reservation Failure,2,Zanti cucina italiana - river oaks,Reservation failure,Reservation (General),Reservation,FALSE,683987e5-7c99-4311-aea5-a8c5d7df96e5,TRUE
f38f62fb-175e-478d-b1d7-c6847b6e4e8c,General solution for Canon Canada Inc. - Printer Replacement Claim,3,Canon canada inc.,Printer replacement claim,Refund/Compensation,Technical Support,FALSE,f38f62fb-175e-478d-b1d7-c6847b6e4e8c,TRUE
08883e89-b6c7-4b62-a289-d33809cf357a,Contact Information and Authentication for Canon Canada Inc. - Printer Replacement Difficulty,4,Canon canada inc.,Printer replacement difficulty,Technical Support,Technical Support,TRUE,08883e89-b6c7-4b62-a289-d33809cf357a,TRUE
edba079d-c5f1-4c9e-9236-6894896dfc87,General solution for Geico - PDF Upload Error,5,Geico,Pdf upload error,Technical Support,Technical Support,TRUE,edba079d-c5f1-4c9e-9236-6894896dfc87,TRUE
c9fdbd1e-4f68-4a8b-900c-c7d2bba373d6,Contact Information and Authentication for Geico - PDF Upload Error,6,Geico,Pdf upload error,Technical Support,Technical Support,TRUE,c9fdbd1e-4f68-4a8b-900c-c7d2bba373d6,TRUE
1ff01d7a-ff06-4ebd-91a3-92d2c633f3e0,General solution for Planet Fitness - membership cancellation,7,Planet fitness,Membership cancellation,Subscription Cancellation,Subscription Cancellation,TRUE,1ff01d7a-ff06-4ebd-91a3-92d2c633f3e0,TRUE
6b108ce6-ad3f-4f48-a3a0-9fdd15839971,Contact Information and Authentication for Planet Fitness - Membership Cancellation,8,Planet fitness,Membership cancellation,Subscription Cancellation,Subscription Cancellation,TRUE,6b108ce6-ad3f-4f48-a3a0-9fdd15839971,TRUE
2cb1607c-6d70-4918-9d49-6299104b4993,General solution for Shopify - Fraudulent Shopify Charges,9,Shopify,Fraudulent shopify charges,Bill Negotiation,Bill Negotiation,TRUE,2cb1607c-6d70-4918-9d49-6299104b4993,TRUE
bcfedd86-10a7-4c2e-95f2-ab69e0ba9bcf,Contact Information and Authentication for Shopify - Fraudulent Shopify Charges,10,Shopify,Fraudulent shopify charges,Bill Negotiation,Bill Negotiation,TRUE,bcfedd86-10a7-4c2e-95f2-ab69e0ba9bcf,TRUE
6adef0d4-fac5-40c6-acc3-0eec0c94ae98,Contact Information and Authentication for PickleBallDepot.ca - refund request for banned paddle,11,Pickleballdepot.ca,Refund request for banned paddle,Refund/Compensation,Refund Request,FALSE,6adef0d4-fac5-40c6-acc3-0eec0c94ae98,TRUE
a9b4f0ea-5142-400a-8ed5-a462bc383816,General solution for Gearbox Sports and PickleBallDepot.ca - refund request for banned paddle,12,Gearbox sports and pickleballdepot.ca,Refund request for banned paddle,Refund/Compensation,Refund Request,FALSE,a9b4f0ea-5142-400a-8ed5-a462bc383816,TRUE
f7821ae2-1058-470b-8ad0-c94a08e26301,General solution for Super.com - Seeking a Refund,13,Super.com,Seeking a refund,Refund/Compensation,Bill Negotiation,FALSE,f7821ae2-1058-470b-8ad0-c94a08e26301,TRUE
a9007c1f-2f2d-41b0-ba85-81735982c1e5,Contact Information and Authentication for Super.com - Seeking a Refund,14,Super.com,Seeking a refund,Refund/Compensation,Bill Negotiation,FALSE,a9007c1f-2f2d-41b0-ba85-81735982c1e5,TRUE
